BP_Code,Name,lat,lng
V000637,Luis Rodolfo Leiva Delgado,8.537981,-80.782127
V000204,Lumica (Asia) Pte Ltd,1.3361594,103.7572027
V000709,Maharaj Nakorn Chiang Mai Hospital,18.7930839,98.9876263
V000671,Malaysian Society of Gastroenterology and Hepatology,3.0586745,101.6917068
V000427,Mandarin Oriental Singapore,1.2908184999999999,103.8582972
V000686,Mango Entertainment Pte Ltd,1.3007889,103.8383538
V000178,Mapped Pte Ltd,1.274935,103.845312
V000080,Marchall Cavendish Business Information,1.3421918,103.8847664
V000081,Mariteam Technology Pte Ltd,1.3105119,103.751873
V000705,"Maxsysmedia Co.,Ltd.",13.6330132,100.6172958
V000039,Mayfair Medical Clinic,1.4350614,103.775972
V000545,Mdm Ling Bakery Private Limited,1.3762866,103.8653773
V000684,MDPI AG,47.5521749,7.603134
V000083,MDSS (Medical Device Safety Service),52.37521,9.74951
V000586,MED247 Pte. Ltd.,1.311461,103.863627
V000706,Mediacorp Pte Ltd,1.2955548000000001,103.7922416
V000602,Mediline Clinics Pte Ltd (Mediline Wei Min Clinic),1.3652387,103.8660795
V000054,MediqTrans Pte Ltd,1.3111166,103.8614368
V000693,Mendoza Querido and Co,14.5587959,121.0197575
V000030,MeowPrint,1.3275502,103.7533882
V000271,Merck Pte Ltd,1.352083,103.819836
V000085,Meridian Bioscience Asia Pte Ltd,1.2892176,103.7809673
V000231,Mewburn Ellis,51.5170885,-0.0912682
V000179,MFA LLP,42.6438298,-71.2346133
V000694,MGI Tech Singapore Pte Ltd,1.3018822,103.7923759
V000419,Michael Page International Pte Ltd,1.2840981999999999,103.8511501
V000663,Michael Song Gin Chai,3.0107057,101.6235156
V000087,Microsoft MSFT (SGD),1.277416,103.7994388
V000347,"Mirui (Hangzhou) Biology Science Co.,Ltd",1.352083,103.819836
V000374,"Mirui (Hangzhou) Biology Science Co.,Ltd",1.352083,103.819836
V000180,Mirxes Lab Pte Ltd,1.3045201,103.7916515
V000229,Mirxes Lab Pte Ltd,1.352083,103.819836
V000395,Mirxes Lab Pte Ltd,1.352083,103.819836
V000269,Mirxes Lab Pte Ltd - NT,1.3045201,103.7916515
V000086,Miscrosoft Corporation (MSFT),1.277416,103.7994388
V000326,ML Photography,1.3278409,103.8793754
V000548,MNX Global Logistics (Singapore) Pte Ltd,1.3333217,103.9677889
V000475,Mojo Space Pte Ltd,1.4378735,103.8067738
